time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,Magnitude,Difference,Square,Moving Average,Peaks above .32 and in between the start and end phases,Steps(1 if step),Total Steps
0.988983154,-0.177979887,1.947300553,9.399403572,0.020250943,-0.137495011,-0.25580436,2.699996948,-24.96159363,-18.78433228,,9.600648092,0.061467713,0.00377828,0.057669121,,0,
0.998962402,-0.147443384,1.780397654,9.085206985,0.014921425,-0.137495011,-0.260067791,2.699996948,-24.96159363,-18.78433228,,9.259186861,-0.341461232,0.116595773,0.06779552,,0,
1.008972168,-0.07514374,1.733994126,9.40823555,0.002131594,-0.120441459,-0.25580436,2.699996948,-24.86253357,-18.5896759,,9.566988992,0.307802131,0.094742152,0.075800777,,0,
1.018951416,-0.295335859,1.884431362,9.242529869,0,-0.085268296,-0.25580436,2.699996948,-24.86253357,-18.5896759,,9.437301691,-0.129687301,0.016818796,0.075244837,,0,
1.028961181,-0.075443119,1.798959017,9.602531433,0.011724034,-0.051160924,-0.260067791,2.699996948,-24.86253357,-18.5896759,,9.769879996,0.332578305,0.110608329,0.082735915,,0,
1.038909912,-0.310454398,1.90688467,9.255702972,0.026645726,-0.025580462,-0.265396774,3,-24.76348877,-18.49235535,,9.455190564,-0.314689432,0.099029439,0.081427895,,0,
1.048919678,-0.392184436,1.855840802,9.291478157,0.031975243,-0.01279063,-0.273923695,3,-24.76348877,-18.49235535,,9.483117634,0.02792707,0.000779921,0.077036826,,0,
1.059417724,-0.148790583,1.756746769,9.174720764,0.023448335,-0.023448868,-0.276055276,3,-24.76348877,-18.49235535,,9.342579887,-0.140537747,0.019750858,0.078789047,,0,
1.068908691,-0.384849697,1.812430978,8.980125427,0.012789831,-0.03837109,-0.280319005,3.199996948,-24.76348877,-18.49235535,,9.16927849,-0.173301397,0.030033374,0.053320955,,0,
1.078887939,-0.255967706,1.741927624,9.09373951,-0.004263721,-0.026646258,-0.279253215,3.199996948,-24.76348877,-18.49235535,,9.262609221,0.093330731,0.008710625,0.051718879,,0,
1.088867187,-0.393980712,1.78369081,9.049581528,-0.052226719,-0.025580462,-0.270726293,3.199996948,-24.76348877,-18.49235535,,9.232101577,-0.030507644,0.000930716,0.045616206,,0,
1.098846435,-0.546663225,1.721120954,8.978778839,-0.10765136,-0.046897735,-0.252606958,3.299987793,-24.76348877,-18.39503479,,9.1585789,-0.073522678,0.005405584,0.045764143,,0,
1.108825683,-0.555794239,1.707648873,8.992699623,-0.143890321,-0.04796353,-0.232355475,3.299987793,-24.76348877,-18.39503479,,9.170257271,0.011678372,0.000136384,0.035176925,,0,
1.118865967,-0.41643402,2.057471514,8.937464714,-0.139626607,0.002131594,-0.21103847,3.299987793,-24.76348877,-18.39503479,,9.180679813,0.010422542,0.000108629,0.026573878,,0,
1.128845215,-0.356408834,1.843416572,9.281000137,-0.123638853,0.027712055,-0.19291912,3.299987793,-24.46632385,-18.20037842,,9.469011324,0.288331511,0.08313506,0.032602629,,0,
1.138824463,-0.787811756,1.706750751,8.890461922,-0.137495011,0.026645726,-0.181194827,3.299987793,-24.46632385,-18.20037842,,9.087021441,-0.381989883,0.145916271,0.035812442,,0,
1.148803711,-0.715212703,1.62307477,8.982221603,-0.154548571,0.057555705,-0.169470251,3.299987793,-24.46632385,-18.20037842,,9.155665233,0.068643792,0.00471197,0.027238127,,0,
1.158782959,-0.520617366,1.703008533,9.220675468,-0.18652381,0.063950755,-0.156680152,44.59999084,5.844177246,4.67175293,,9.391066851,0.235401618,0.055413922,0.032204854,,0,
1.168792724,-0.427810371,1.4723382,9.341324806,-0.214235857,0.045831405,-0.143890321,44.59999084,5.844177246,4.67175293,,9.466316634,0.075249784,0.00566253,0.030924097,,0,
1.178771972,-0.561033309,1.56065464,9.329798698,-0.227026492,0.046897203,-0.130033895,44.59999084,5.844177246,4.67175293,,9.476051131,0.009734496,9.47604E-05,0.028202405,,0,
1.188751221,-0.442629546,1.611997843,9.208849907,-0.233421549,0.053291984,-0.117244072,-0.5,-37.34332275,-56.74232483,,9.359346909,-0.116704221,0.013619875,0.0286487,,0,
1.198760986,-0.495170295,1.676663399,9.229058266,-0.235553131,0.053291984,-0.106585033,-0.5,-37.34332275,-56.74232483,,9.393184244,0.033837335,0.001144965,0.028668177,,0,
1.208740234,-0.600700855,1.74836421,9.53098011,-0.229158089,0.036238696,-0.098058388,-0.5,-37.34332275,-56.74232483,,9.708614772,0.315430528,0.099496418,0.03722189,,0,
1.21875,-0.599203944,1.414259076,9.396559715,-0.206775278,-0.006395315,-0.092729405,14.40000916,-47.0506134,-11.67938232,,9.521266123,-0.187348649,0.035099516,0.040400356,,0,
1.22869873,-0.498014361,1.3537848,9.474247932,-0.163075477,-0.041568484,-0.085268296,14.40000916,-47.0506134,-11.67938232,,9.583429734,0.062163611,0.003864315,0.040741782,,0,
1.238677978,-0.674048305,1.482068062,9.464967728,-0.119375661,-0.054358847,-0.082070902,14.40000916,-47.0506134,-11.67938232,,9.603982556,0.020552822,0.000422418,0.033222451,,0,
1.248687744,-0.516426086,1.311572552,9.204359055,-0.10125605,-0.044766139,-0.073543996,14.1000061,-0.792419434,-18.20036316,,9.311667094,-0.292315462,0.08544833,0.027725365,,0,
1.25869751,-0.152383119,1.430575132,9.29132843,-0.110848755,-0.024514664,-0.063951552,14.1000061,-0.792419434,-18.20036316,,9.402050299,0.090383205,0.008169124,0.028039652,,0,
1.268676758,-0.535436571,1.109343052,8.97922802,-0.151350901,0.021316741,-0.059687831,14.1000061,-0.792419434,-18.20036316,,9.063325557,-0.338724742,0.114734451,0.033432427,,0,
1.278656006,-0.430504769,1.178349614,8.926088333,-0.21636799,0.116177209,-0.054358847,14.19999695,-0.594314575,-18.39503479,,9.0138169,-0.049508658,0.002451107,0.03314048,,0,
1.288665772,-0.488134921,0.880618751,9.112750053,-0.296306759,0.198247835,-0.03837109,14.19999695,-0.594314575,-18.39503479,,9.168204765,0.154387866,0.023835613,0.035298739,,0,
1.299285889,-0.551004171,1.279688835,9.08909893,-0.367718637,0.207840547,-0.003197924,38.5,-29.31996155,-3.601150513,,9.195266634,0.027061869,0.000732345,0.034127146,,0,
1.308654785,-0.396824807,1.212029576,9.474996567,-0.386904031,0.176930577,0.030909447,38.5,-29.31996155,-3.601150513,,9.560441703,0.365175069,0.133352831,0.046146042,,0,
1.318634033,-0.501457214,1.348695397,9.37665081,-0.358126193,0.141757667,0.056489907,38.5,-29.31996155,-3.601150513,,9.486412337,-0.074029366,0.005480347,0.037599127,,0,
1.328643799,-0.558039546,1.395847321,9.417366028,-0.316557705,0.104452908,0.074609257,22.5,-24.66442871,-22.38548279,,9.536591675,0.050179338,0.002517966,0.034637168,,0,
1.338623047,-0.575702846,1.309926033,9.326954842,-0.280319005,0.060753096,0.093794405,22.5,-24.66442871,-22.38548279,,9.436070506,-0.100521169,0.010104505,0.035204458,,0,
1.348602295,-0.578546882,1.243464231,9.475296021,-0.261133611,0.011724034,0.106584497,22.5,-24.66442871,-22.38548279,,9.574035433,0.137964927,0.019034321,0.036896449,,0,
